date,open,high,low,close,volume,amount,pct_chg,fetch_source
2025-12-22,53.21,54.9,53.2,53.92,69468631.0,3761287290.0,0.0,AkshareFetcher
2025-12-23,54.18,56.32,53.68,55.78,78246491.0,4324994284.0,3.449554896142426,AkshareFetcher
2025-12-24,56.29,57.2,55.16,56.26,73335947.0,4105838803.0,0.8605234851201127,AkshareFetcher
2025-12-25,54.81,56.18,53.81,55.53,73034961.0,3995293527.0,-1.2975471027372842,AkshareFetcher
2025-12-26,57.5,58.88,57.0,57.93,94496798.0,5467246806.0,4.321988114532682,AkshareFetcher
2025-12-29,58.1,58.13,55.11,55.3,74549376.0,4206697396.0,-4.5399620231313715,AkshareFetcher
2025-12-30,54.0,57.0,53.81,56.38,56860029.0,3158526794.0,1.9529837251356374,AkshareFetcher
2025-12-31,56.3,57.54,55.01,55.38,45380936.0,2539726227.0,-1.7736786094359691,AkshareFetcher
2026-01-05,55.8,57.1,54.96,57.0,62335482.0,3505111792.0,2.9252437703141787,AkshareFetcher
2026-01-06,58.5,59.97,57.7,59.28,85811266.0,5049607700.0,4.0000000000000036,AkshareFetcher
2026-01-07,59.8,60.56,57.8,59.24,72515533.0,4282979032.0,-0.06747638326585204,AkshareFetcher
2026-01-08,59.58,60.98,57.77,58.62,69626523.0,4133712056.0,-1.0465901417960888,AkshareFetcher
2026-01-09,57.8,59.9,57.2,58.63,55395466.0,3254514149.0,0.017059024223819996,AkshareFetcher
2026-01-12,60.8,62.18,59.91,61.3,69892523.0,4265641377.0,4.553982602763074,AkshareFetcher
2026-01-13,61.5,66.0,61.31,62.36,104508175.0,6616775697.0,1.7292006525285508,AkshareFetcher
2026-01-14,61.46,63.33,59.23,59.82,91604207.0,5596164132.0,-4.073123797305966,AkshareFetcher
2026-01-15,59.58,62.77,59.46,61.32,68772260.0,4238508360.0,2.507522567703102,AkshareFetcher
2026-01-16,61.4,62.66,58.61,58.73,69501144.0,4162759562.0,-4.223744292237452,AkshareFetcher
2026-01-19,58.55,59.24,57.8,58.61,36228623.0,2122212796.0,-0.20432487655371867,AkshareFetcher
2026-01-20,59.61,59.99,57.81,59.49,48499680.0,2861669063.0,1.5014502644600025,AkshareFetcher
2026-01-21,59.6,61.88,59.33,61.43,63517961.0,3872778918.0,3.2610522776937323,AkshareFetcher
2026-01-22,61.82,62.65,60.29,60.65,48745395.0,2976168515.0,-1.269737913071789,AkshareFetcher
2026-01-23,61.65,63.4,61.03,62.8,71246806.0,4445804813.0,3.544929925803797,AkshareFetcher
