date,open,high,low,close,volume,amount,pct_chg,fetch_source
2025-12-19,366.98,370.51,363.76,366.9,17559945.0,6572807890.0,0.0,AkshareFetcher
2025-12-22,368.86,370.81,361.11,364.78,25493538.0,9489773616.0,-0.5778141182883667,AkshareFetcher
2025-12-23,364.94,373.28,364.54,370.92,23604086.0,8879315764.0,1.6832063161357658,AkshareFetcher
2025-12-24,370.9,370.9,364.94,368.47,21088387.0,7902857946.0,-0.6605197886336622,AkshareFetcher
2025-12-25,367.1,367.1,362.11,365.93,20343144.0,7559336244.0,-0.6893369880858757,AkshareFetcher
2025-12-26,365.88,370.82,363.07,367.32,25723689.0,9616116053.0,0.3798540704506248,AkshareFetcher
2025-12-29,366.9,367.32,361.01,362.3,24124072.0,8924502783.0,-1.3666557769791976,AkshareFetcher
2025-12-30,360.13,363.96,359.6,362.19,19030821.0,7014015794.0,-0.030361578802096112,AkshareFetcher
2025-12-31,362.77,364.94,360.18,360.29,16026597.0,5920431545.0,-0.524586542974681,AkshareFetcher
2026-01-05,362.97,370.82,361.2,370.33,33688135.0,12583419574.0,2.786644092258994,AkshareFetcher
2026-01-06,372.78,373.28,362.03,366.89,34147710.0,12764795667.0,-0.9289012502362803,AkshareFetcher
2026-01-07,365.87,368.35,361.49,363.97,26228535.0,9730943679.0,-0.7958788737768674,AkshareFetcher
2026-01-08,361.01,366.24,360.03,362.2,26959035.0,9962397480.0,-0.4863038162486011,AkshareFetcher
2026-01-09,362.16,370.46,360.04,362.22,31477187.0,11681035309.0,0.005521811154074463,AkshareFetcher
2026-01-12,361.01,361.01,344.98,354.81,48830739.0,17505537199.0,-2.0457180718900236,AkshareFetcher
2026-01-13,359.3,360.79,350.22,352.18,29670920.0,10745692370.0,-0.7412417913812974,AkshareFetcher
2026-01-14,353.19,354.36,345.03,347.26,38083365.0,13553362724.0,-1.3970128911352186,AkshareFetcher
2026-01-15,346.05,351.48,345.12,347.03,32370912.0,11474019060.0,-0.06623279387203418,AkshareFetcher
2026-01-16,351.19,354.85,344.84,345.63,31981842.0,11350569563.0,-0.40342333515833717,AkshareFetcher
2026-01-19,344.8,348.59,338.77,342.28,33864284.0,11842421264.0,-0.9692445678905259,AkshareFetcher
2026-01-20,343.35,350.13,341.29,342.96,35440589.0,12466608900.0,0.1986677573916129,AkshareFetcher
2026-01-21,345.26,350.9,342.37,343.17,39393573.0,13919426405.0,0.06123163051086067,AkshareFetcher
2026-01-22,344.37,347.01,333.05,339.23,45994818.0,15851213229.0,-1.1481190080718018,AkshareFetcher
2026-01-23,341.4,343.35,336.73,340.41,33976127.0,11775914386.0,0.3478465937564401,AkshareFetcher
2026-01-26,345.34,345.86,334.73,335.56,33291386.0,11468681279.0,-1.4247525043330156,AkshareFetcher
2026-01-27,338.34,338.35,327.68,332.96,32294885.0,10953698562.0,-0.7748241745142548,AkshareFetcher
2026-01-28,331.46,337.47,326.69,333.53,46308171.0,15638344009.0,0.17119173474291483,AkshareFetcher
2026-01-29,334.03,338.61,331.74,335.4,33844419.0,11569006794.0,0.560669205168951,AkshareFetcher
2026-01-30,341.78,347.04,337.57,343.35,48650115.0,17048600000.0,2.3703041144901738,AkshareFetcher
2026-02-02,350.22,351.19,337.6,342.35,39191747.0,13766144458.0,-0.29124799767001885,AkshareFetcher
2026-02-03,342.37,346.1,336.98,341.3,26516325.0,9220045792.0,-0.3067036658390587,AkshareFetcher
2026-02-04,344.3,359.69,340.91,358.1,48531685.0,17369398062.0,4.922355698798708,AkshareFetcher
2026-02-05,358.83,359.79,349.26,356.05,28427157.0,10268243283.0,-0.5724657916783005,AkshareFetcher
2026-02-06,352.5,365.8,351.21,362.1,39372618.0,14514523059.0,1.6991995506249191,AkshareFetcher
2026-02-09,363.47,365.43,355.72,361.82,27448630.0,10080946319.0,-0.0773267053300275,AkshareFetcher
2026-02-10,358.24,363.76,357.09,358.04,18563499.0,6798020174.0,-1.0447183682493977,AkshareFetcher
2026-02-11,359.93,363.95,357.58,361.01,19653459.0,7239804071.0,0.8295162551670066,AkshareFetcher
2026-02-12,362.97,370.71,361.04,368.73,27754580.0,10410892196.0,2.138444918423321,AkshareFetcher
2026-02-13,368.48,369.84,358.08,358.4,22314532.0,8229700941.0,-2.8015078783934166,AkshareFetcher
2026-02-24,365.56,366.41,355.08,355.08,22695131.0,8316534693.0,-0.9263392857142838,AkshareFetcher
2026-02-25,356.78,359.64,353.26,355.3,18716639.0,6802110619.0,0.061957868649331616,AkshareFetcher
2026-02-26,349.29,351.4,336.98,339.43,43541381.0,15108143010.0,-4.46664790318041,AkshareFetcher
2026-02-27,340.53,342.31,335.52,335.52,25446620.0,8775054149.0,-1.1519311787408393,AkshareFetcher
2026-03-02,334.53,338.35,330.29,333.76,28351326.0,9643254984.0,-0.5245588936576007,AkshareFetcher
2026-03-03,339.75,347.62,337.5,337.54,40007479.0,13919957238.0,1.1325503355704702,AkshareFetcher
2026-03-04,334.62,335.53,327.85,332.47,25080441.0,8468604902.0,-1.5020442021686287,AkshareFetcher
2026-03-05,338.04,347.13,336.15,343.6,31006068.0,10819502021.0,3.347670466508257,AkshareFetcher
2026-03-06,342.37,350.24,338.12,348.03,20963113.0,7388868682.0,1.2892898719440993,AkshareFetcher
2026-03-09,342.22,353.02,338.51,350.71,31797613.0,11217996825.0,0.7700485590322659,AkshareFetcher
2026-03-10,367.88,372.56,359.54,369.16,50741728.0,19049080513.0,5.2607567505916775,AkshareFetcher
2026-03-11,372.37,395.89,371.78,389.27,57598685.0,22642696276.0,5.447502437967255,AkshareFetcher
2026-03-12,392.41,393.29,385.24,387.99,29150375.0,11537671607.0,-0.32882061294217113,AkshareFetcher
2026-03-13,386.4,396.32,386.32,389.46,35582639.0,14201304444.0,0.3788757442201973,AkshareFetcher
2026-03-16,394.14,405.33,390.44,400.65,37352104.0,15195015005.0,2.8732090586966574,AkshareFetcher
2026-03-17,407.89,412.03,396.88,397.31,35980678.0,14787230790.0,-0.8336453263446786,AkshareFetcher
2026-03-18,397.66,398.29,389.24,394.39,26529996.0,10653633584.0,-0.7349424882333699,AkshareFetcher
2026-03-19,394.31,406.14,392.41,392.9,29286635.0,11867380765.0,-0.37779862572581147,AkshareFetcher
2026-03-20,397.39,414.07,392.53,405.16,53729677.0,22252017693.0,3.1203868668872703,AkshareFetcher
2026-03-23,409.41,409.44,391.18,394.36,44614145.0,18193336487.0,-2.665613584756643,AkshareFetcher
2026-03-24,397.31,404.08,380.63,389.45,36410525.0,14439124610.0,-1.2450552794401104,AkshareFetcher
2026-03-25,385.54,392.9,380.44,390.26,26752828.0,10553996247.0,0.2079856207471975,AkshareFetcher
2026-03-26,386.36,405.86,384.56,394.86,26763697.0,10811439764.0,1.1787013785681477,AkshareFetcher
2026-03-27,398.41,410.39,394.1,408.28,30258043.0,12465856864.0,3.3986729473737487,AkshareFetcher
2026-03-30,405.16,410.9,397.9,405.16,25348419.0,10440376424.0,-0.7641814441069705,AkshareFetcher
2026-03-31,405.16,409.03,393.96,394.07,24925645.0,10159878346.0,-2.7371902458288133,AkshareFetcher
2026-04-01,401.95,402.09,388.48,398.01,23170073.0,9384266504.0,0.999822366584624,AkshareFetcher
2026-04-02,400.16,404.17,389.66,393.55,22305638.0,8988161794.0,-1.1205748599281362,AkshareFetcher
2026-04-03,392.41,393.19,377.82,379.12,24751501.0,9640031385.0,-3.666624317113454,AkshareFetcher
2026-04-07,382.58,385.73,374.25,377.29,17257622.0,6675632984.0,-0.4826967714707697,AkshareFetcher
2026-04-08,388.97,390.1,380.85,383.87,36418443.0,14315333338.0,1.7440165390018247,AkshareFetcher
2026-04-09,386.62,386.79,379.32,382.59,25955199.0,10132744607.0,-0.3334462187719933,AkshareFetcher
2026-04-10,386.52,411.04,385.22,408.1,50788702.0,20752496341.0,6.667712172299334,AkshareFetcher
2026-04-13,410.06,425.1,408.1,419.02,41239924.0,17625505878.0,2.6758147512864427,AkshareFetcher
2026-04-14,413.5,424.28,406.53,422.61,44220826.0,18663656303.0,0.8567610137941051,AkshareFetcher
2026-04-15,430.55,431.12,418.96,422.82,37353628.0,16122379460.0,0.049691204656765464,AkshareFetcher
2026-04-16,432.63,451.27,424.8,445.36,63506218.0,28517416468.0,5.3308736578213,AkshareFetcher
2026-04-17,447.3,448.95,432.64,435.77,36535848.0,16290232436.0,-2.153314172804033,AkshareFetcher
