date,open,high,low,close,volume,amount,pct_chg,fetch_source
2022-07-26,4.17,4.3,4.15,4.29,38929949.0,230659364.0,0.0,AkshareFetcher
2022-07-27,4.28,4.29,4.22,4.25,28831055.0,171669128.0,-0.932400932400934,AkshareFetcher
2022-07-28,4.28,4.35,4.26,4.28,40751823.0,245798407.0,0.7058823529411784,AkshareFetcher
2022-07-29,4.28,4.34,4.23,4.23,40031147.0,240192564.0,-1.1682242990654124,AkshareFetcher
2022-08-01,4.22,4.29,4.15,4.24,29237066.0,173954834.0,0.236406619385332,AkshareFetcher
2022-08-02,4.17,4.19,3.95,4.0,60477138.0,343135848.0,-5.660377358490576,AkshareFetcher
2022-08-03,3.93,4.1,3.93,3.93,39928211.0,225134989.0,-1.749999999999996,AkshareFetcher
2022-08-04,3.97,4.0,3.91,3.98,32921942.0,183049211.0,1.2722646310432628,AkshareFetcher
2022-08-05,4.0,4.12,3.98,4.11,44655361.0,254562255.0,3.266331658291466,AkshareFetcher
2022-08-08,4.1,4.19,4.06,4.18,41479350.0,239993379.0,1.703163017031617,AkshareFetcher
2022-08-09,4.1,4.1,4.0,4.06,56871657.0,322303711.0,-2.8708133971291905,AkshareFetcher
2022-08-10,4.04,4.09,4.0,4.06,41154708.0,233874024.0,0.0,AkshareFetcher
2022-08-11,4.08,4.37,4.08,4.33,116311056.0,699464275.0,6.650246305418728,AkshareFetcher
2022-08-12,4.33,4.37,4.28,4.35,64942417.0,395138106.0,0.4618937644341736,AkshareFetcher
2022-08-15,4.35,4.37,4.32,4.35,42477159.0,258750150.0,0.0,AkshareFetcher
2022-08-16,4.35,4.5,4.32,4.42,70464508.0,436908611.0,1.6091954022988464,AkshareFetcher
2022-08-17,4.43,4.51,4.41,4.49,60354356.0,377875896.0,1.5837104072398356,AkshareFetcher
2022-08-18,4.47,4.47,4.35,4.43,64787535.0,400598108.0,-1.3363028953229494,AkshareFetcher
2022-08-19,4.42,4.59,4.41,4.42,96617165.0,611523932.0,-0.225733634311509,AkshareFetcher
2022-08-22,4.35,4.48,4.31,4.39,62546435.0,386875763.0,-0.6787330316742168,AkshareFetcher
2022-08-23,4.43,4.44,4.29,4.32,53638138.0,326326592.0,-1.5945330296127436,AkshareFetcher
2022-08-24,4.32,4.35,4.19,4.19,50725793.0,302764339.0,-3.009259259259256,AkshareFetcher
2022-08-25,4.23,4.25,4.08,4.22,43197265.0,252717057.0,0.7159904534606021,AkshareFetcher
2022-08-26,4.22,4.3,4.15,4.16,37799017.0,223805250.0,-1.421800947867291,AkshareFetcher
2022-08-29,4.1,4.15,4.03,4.14,33558719.0,193417746.0,-0.4807692307692401,AkshareFetcher
2022-08-30,4.1,4.28,4.1,4.17,50660563.0,297614587.0,0.7246376811594235,AkshareFetcher
2022-08-31,4.14,4.26,4.05,4.05,59776735.0,346685702.0,-2.877697841726623,AkshareFetcher
2022-09-01,4.07,4.08,3.93,3.95,52890259.0,296719563.0,-2.469135802469125,AkshareFetcher
2022-09-02,3.95,4.13,3.95,4.08,60426044.0,344393014.0,3.2911392405063244,AkshareFetcher
2022-09-05,4.08,4.08,3.91,3.96,56075116.0,311371057.0,-2.941176470588236,AkshareFetcher
2022-09-06,3.97,3.98,3.92,3.98,32320758.0,179289347.0,0.5050505050504972,AkshareFetcher
2022-09-07,3.95,3.96,3.88,3.91,45739705.0,251527482.0,-1.7587939698492372,AkshareFetcher
2022-09-08,3.92,3.95,3.82,3.83,34839115.0,189478894.0,-2.0460358056266004,AkshareFetcher
2022-09-09,3.82,3.86,3.78,3.85,23431845.0,126063111.0,0.5221932114882533,AkshareFetcher
2022-09-13,3.87,3.9,3.83,3.84,20894757.0,113396228.0,-0.2597402597402709,AkshareFetcher
2022-09-14,3.78,3.82,3.74,3.77,24565846.0,130317733.0,-1.822916666666663,AkshareFetcher
2022-09-15,3.78,3.82,3.66,3.69,31685865.0,165872264.0,-2.1220159151193685,AkshareFetcher
2022-09-16,3.7,3.75,3.59,3.6,29443279.0,151689389.0,-2.439024390243893,AkshareFetcher
2022-09-19,3.61,3.61,3.51,3.54,28416767.0,141799041.0,-1.6666666666666718,AkshareFetcher
2022-09-20,3.56,3.59,3.52,3.54,28622653.0,142738350.0,0.0,AkshareFetcher
2022-09-21,3.53,3.62,3.42,3.59,35740635.0,177184198.0,1.412429378531077,AkshareFetcher
2022-09-22,3.55,3.61,3.52,3.52,26468419.0,132169313.0,-1.949860724233976,AkshareFetcher
2022-09-23,3.53,3.53,3.42,3.43,26624309.0,129548422.0,-2.5568181818181768,AkshareFetcher
2022-09-26,3.41,3.43,3.31,3.31,32063015.0,151189369.0,-3.498542274052485,AkshareFetcher
2022-09-27,3.33,3.42,3.32,3.42,31872576.0,150892860.0,3.32326283987916,AkshareFetcher
2022-09-28,3.4,3.41,3.3,3.31,25845319.0,121577514.0,-3.2163742690058394,AkshareFetcher
2022-09-29,3.36,3.37,3.23,3.23,28514778.0,131551929.0,-2.4169184290030232,AkshareFetcher
2022-09-30,3.24,3.28,3.19,3.19,26121325.0,118542662.0,-1.2383900928792602,AkshareFetcher
2022-10-10,3.21,3.23,3.11,3.13,28969109.0,129090772.0,-1.8808777429467072,AkshareFetcher
2022-10-11,3.14,3.18,3.11,3.16,19573280.0,86479234.0,0.9584664536741228,AkshareFetcher
2022-10-12,3.15,3.26,3.11,3.25,33864114.0,150886103.0,2.848101265822778,AkshareFetcher
2022-10-13,3.23,3.33,3.22,3.28,33221773.0,152919966.0,0.9230769230769154,AkshareFetcher
2022-10-14,3.31,3.36,3.28,3.33,29585845.0,138232396.0,1.5243902439024517,AkshareFetcher
2022-10-17,3.3,3.42,3.3,3.39,30352283.0,143696509.0,1.8018018018018056,AkshareFetcher
2022-10-18,3.41,3.41,3.34,3.36,27625036.0,130666205.0,-0.8849557522124019,AkshareFetcher
2022-10-19,3.34,3.36,3.3,3.31,19281667.0,89966427.0,-1.4880952380952328,AkshareFetcher
2022-10-20,3.29,3.39,3.26,3.33,32617327.0,152619450.0,0.6042296072507503,AkshareFetcher
2022-10-21,3.33,3.36,3.25,3.26,25051094.0,115831376.0,-2.1021021021021102,AkshareFetcher
2022-10-24,3.26,3.33,3.16,3.18,33169767.0,151159504.0,-2.4539877300613355,AkshareFetcher
2022-10-25,3.18,3.2,3.11,3.16,25739888.0,113789893.0,-0.6289308176100628,AkshareFetcher
2022-10-26,3.17,3.3,3.16,3.28,32151870.0,146969373.0,3.797468354430378,AkshareFetcher
2022-10-27,3.3,3.36,3.28,3.33,35823593.0,167402335.0,1.5243902439024517,AkshareFetcher
2022-10-28,3.31,3.32,3.14,3.16,37814541.0,171129478.0,-5.1051051051051015,AkshareFetcher
2022-10-31,3.17,3.38,3.16,3.35,58383017.0,271313121.0,6.012658227848089,AkshareFetcher
2022-11-01,3.36,3.4,3.31,3.4,46126036.0,217993633.0,1.49253731343284,AkshareFetcher
2022-11-02,3.62,3.89,3.61,3.79,160944865.0,851096193.0,11.47058823529412,AkshareFetcher
2022-11-03,3.69,3.76,3.61,3.69,99771390.0,513994418.0,-2.638522427440637,AkshareFetcher
2022-11-04,3.69,3.83,3.65,3.8,87299848.0,461043194.0,2.981029810298108,AkshareFetcher
2022-11-07,3.77,4.09,3.71,3.95,130012229.0,714237249.0,3.9473684210526327,AkshareFetcher
2022-11-08,3.93,4.05,3.86,3.9,81652322.0,450750179.0,-1.265822784810133,AkshareFetcher
2022-11-09,3.85,3.91,3.78,3.8,62607027.0,337672002.0,-2.564102564102566,AkshareFetcher
2022-11-10,3.78,4.18,3.78,4.1,160406360.0,900554659.0,7.8947368421052655,AkshareFetcher
2022-11-11,4.19,4.32,3.98,3.98,156031611.0,901169432.0,-2.9268292682926744,AkshareFetcher
2022-11-14,3.98,4.05,3.91,3.95,85175841.0,475648059.0,-0.7537688442211032,AkshareFetcher
2022-11-15,3.95,4.2,3.94,4.13,115854167.0,669899633.0,4.556962025316458,AkshareFetcher
2022-11-16,4.34,4.48,4.16,4.2,162956814.0,989071691.0,1.6949152542373058,AkshareFetcher
2022-11-17,4.29,4.34,4.04,4.18,112888910.0,653436069.0,-0.4761904761904856,AkshareFetcher
2022-11-18,4.13,4.29,4.08,4.08,90474864.0,530762976.0,-2.392344497607646,AkshareFetcher
2022-11-21,4.03,4.1,3.91,3.95,70259204.0,391664537.0,-3.1862745098039214,AkshareFetcher
2022-11-22,3.97,4.15,3.93,4.06,86092862.0,488730399.0,2.784810126582271,AkshareFetcher
2022-11-23,4.04,4.08,3.84,3.91,68325088.0,376144425.0,-3.6945812807881673,AkshareFetcher
2022-11-24,3.92,3.95,3.82,3.84,45381859.0,246071127.0,-1.7902813299232825,AkshareFetcher
2022-11-25,3.84,3.88,3.76,3.77,39006158.0,207847077.0,-1.822916666666663,AkshareFetcher
2022-11-28,3.73,3.83,3.71,3.8,35315263.0,187700505.0,0.7957559681697646,AkshareFetcher
2022-11-29,3.8,3.88,3.79,3.85,35494454.0,191296929.0,1.3157894736842255,AkshareFetcher
2022-11-30,3.85,3.89,3.8,3.83,31049171.0,167343405.0,-0.5194805194805197,AkshareFetcher
2022-12-01,3.88,3.98,3.83,3.84,45996730.0,251011935.0,0.2610966057441155,AkshareFetcher
2022-12-02,3.85,3.92,3.8,3.85,52814808.0,285884921.0,0.260416666666674,AkshareFetcher
2022-12-05,3.87,4.03,3.84,3.95,75810105.0,417881606.0,2.5974025974025983,AkshareFetcher
2022-12-06,3.93,3.93,3.82,3.85,50120807.0,272071589.0,-2.531645569620256,AkshareFetcher
2022-12-07,3.85,3.93,3.78,3.87,48097022.0,260274208.0,0.5194805194805197,AkshareFetcher
2022-12-08,3.85,3.85,3.73,3.77,54935672.0,290840108.0,-2.583979328165376,AkshareFetcher
2022-12-09,3.76,3.77,3.66,3.68,68879792.0,357220546.0,-2.3872679045092826,AkshareFetcher
2022-12-12,3.67,3.71,3.66,3.69,36411170.0,188703321.0,0.2717391304347671,AkshareFetcher
2022-12-13,3.69,3.75,3.66,3.68,29939512.0,155488382.0,-0.2710027100270906,AkshareFetcher
2022-12-14,3.68,3.75,3.66,3.71,30576119.0,159477263.0,0.8152173913043459,AkshareFetcher
2022-12-15,3.7,3.77,3.68,3.71,29312398.0,152999980.0,0.0,AkshareFetcher
2022-12-16,3.68,3.71,3.63,3.63,30752776.0,157775516.0,-2.156334231805934,AkshareFetcher
2022-12-19,3.63,3.67,3.53,3.56,28156953.0,141720135.0,-1.92837465564738,AkshareFetcher
2022-12-20,3.56,3.6,3.5,3.51,22630904.0,112120159.0,-1.404494382022481,AkshareFetcher
2022-12-21,3.51,3.54,3.47,3.49,17455017.0,85739585.0,-0.5698005698005604,AkshareFetcher
2022-12-22,3.51,3.56,3.46,3.47,26339551.0,129907424.0,-0.5730659025787954,AkshareFetcher
2022-12-23,3.46,3.58,3.44,3.53,32993623.0,163714522.0,1.7291066282420609,AkshareFetcher
2022-12-26,3.55,3.57,3.51,3.55,23658798.0,117660340.0,0.56657223796035,AkshareFetcher
2022-12-27,3.56,3.57,3.49,3.51,24611513.0,121437611.0,-1.1267605633802802,AkshareFetcher
2022-12-28,3.49,3.56,3.44,3.49,26770624.0,131588296.0,-0.5698005698005604,AkshareFetcher
2022-12-29,3.48,3.58,3.45,3.45,31064261.0,153235400.0,-1.1461318051575908,AkshareFetcher
2022-12-30,3.46,3.62,3.46,3.6,52891820.0,265032595.0,4.347826086956519,AkshareFetcher
2023-01-03,3.6,3.72,3.56,3.7,52001957.0,266311241.0,2.77777777777779,AkshareFetcher
2023-01-04,3.71,3.72,3.67,3.71,35528718.0,184065112.0,0.2702702702702675,AkshareFetcher
2023-01-05,3.71,3.81,3.71,3.77,55784327.0,295087813.0,1.6172506738544534,AkshareFetcher
2023-01-06,3.74,3.76,3.66,3.66,39032600.0,202649275.0,-2.917771883289122,AkshareFetcher
2023-01-09,3.67,3.71,3.64,3.65,24135942.0,124421874.0,-0.2732240437158584,AkshareFetcher
2023-01-10,3.68,3.73,3.61,3.71,30664120.0,158288384.0,1.6438356164383494,AkshareFetcher
2023-01-11,3.64,3.7,3.57,3.58,40484447.0,205766263.0,-3.5040431266846306,AkshareFetcher
2023-01-12,3.58,3.61,3.54,3.58,28357191.0,142517955.0,0.0,AkshareFetcher
2023-01-13,3.6,3.63,3.56,3.61,24277949.0,122726403.0,0.8379888268156277,AkshareFetcher
2023-01-16,3.62,3.66,3.58,3.63,29756373.0,151700945.0,0.5540166204986097,AkshareFetcher
2023-01-17,3.63,3.66,3.57,3.58,27795098.0,140246652.0,-1.377410468319551,AkshareFetcher
2023-01-18,3.59,3.63,3.58,3.6,25728377.0,130188606.0,0.5586592178770999,AkshareFetcher
2023-01-19,3.58,3.61,3.56,3.61,26006001.0,130866935.0,0.2777777777777768,AkshareFetcher
2023-01-20,3.61,3.66,3.61,3.66,34000087.0,173559736.0,1.3850415512465464,AkshareFetcher
2023-01-30,3.69,3.91,3.66,3.82,130519918.0,698262912.0,4.371584699453535,AkshareFetcher
2023-01-31,3.81,3.83,3.71,3.78,67900678.0,358309035.0,-1.0471204188481686,AkshareFetcher
2023-02-01,3.78,4.04,3.74,3.98,132545177.0,728415433.0,5.291005291005302,AkshareFetcher
2023-02-02,4.0,4.26,3.98,4.08,193277476.0,1124103887.0,2.5125628140703515,AkshareFetcher
2023-02-03,4.09,4.15,4.05,4.1,86797353.0,498586956.0,0.4901960784313708,AkshareFetcher
2023-02-06,4.08,4.23,3.99,4.13,125747400.0,726231032.0,0.7317073170731714,AkshareFetcher
2023-02-07,4.1,4.35,4.07,4.31,189805641.0,1128129485.0,4.358353510895885,AkshareFetcher
