date,open,high,low,close,volume,amount,pct_chg,fetch_source
2025-12-19,48.64,48.85,48.55,48.69,15812949.0,772071318.0,0.0,AkshareFetcher
2025-12-22,48.83,49.13,48.65,48.94,20540101.0,1006958365.0,0.5134524543027208,AkshareFetcher
2025-12-23,48.9,48.94,48.47,48.51,20332108.0,990285842.0,-0.8786268900694671,AkshareFetcher
2025-12-24,48.52,48.79,48.34,48.62,20168442.0,981671775.0,0.22675736961450532,AkshareFetcher
2025-12-25,48.69,48.79,48.26,48.64,24945060.0,1213394427.0,0.041135335252984184,AkshareFetcher
2025-12-26,48.65,49.24,48.51,48.73,29547418.0,1447838262.0,0.18503289473683626,AkshareFetcher
2025-12-29,48.76,49.19,48.35,48.91,34137194.0,1667284547.0,0.36938231069156835,AkshareFetcher
2025-12-30,48.6,49.05,48.55,48.84,29672777.0,1451104870.0,-0.14312001635655713,AkshareFetcher
2025-12-31,49.39,50.67,49.39,50.17,66144393.0,3323210618.0,2.7231777231777166,AkshareFetcher
2026-01-05,50.88,54.41,50.88,53.72,134685730.0,7127686667.0,7.075941797887175,AkshareFetcher
2026-01-06,53.94,54.46,53.06,53.77,112052553.0,6031721441.0,0.09307520476546927,AkshareFetcher
2026-01-07,53.79,54.09,52.45,52.9,82805682.0,4416441016.0,-1.6180026036823558,AkshareFetcher
2026-01-08,53.61,54.33,52.98,53.29,77902465.0,4176899690.0,0.737240075614376,AkshareFetcher
2026-01-09,53.03,55.72,52.8,55.47,141793653.0,7736755063.0,4.0908237943328984,AkshareFetcher
2026-01-12,57.37,60.36,57.17,59.46,199793135.0,11794942724.0,7.193077339102216,AkshareFetcher
2026-01-13,60.88,64.85,60.66,60.75,223585590.0,13858254114.0,2.1695257315842653,AkshareFetcher
2026-01-14,61.12,64.35,61.12,62.49,209243343.0,13132728031.0,2.8641975308641987,AkshareFetcher
2026-01-15,61.52,66.15,61.4,63.24,149937186.0,9570270505.0,1.2001920307249225,AkshareFetcher
2026-01-16,61.4,67.34,61.38,63.55,157239198.0,10160664529.0,0.4901960784313708,AkshareFetcher
2026-01-19,63.63,64.87,60.67,60.91,149168201.0,9286832583.0,-4.154209284028321,AkshareFetcher
2026-01-20,61.36,61.69,57.89,58.49,120442957.0,7132471424.0,-3.9730750287309102,AkshareFetcher
2026-01-21,57.9,59.09,57.72,57.96,71692267.0,4194035246.0,-0.9061378013335619,AkshareFetcher
2026-01-22,58.46,59.63,57.98,58.3,63777036.0,3746334575.0,0.5866114561766667,AkshareFetcher
2026-01-23,58.86,59.16,57.98,58.61,69505794.0,4083467558.0,0.5317324185248662,AkshareFetcher
2026-01-26,59.56,59.86,57.57,58.04,84600776.0,4962568922.0,-0.9725302849343143,AkshareFetcher
2026-01-27,58.31,58.85,57.13,58.02,68626505.0,3978486086.0,-0.034458993797370496,AkshareFetcher
2026-01-28,58.36,58.61,57.13,57.19,68016830.0,3933553200.0,-1.4305411926921807,AkshareFetcher
2026-01-29,58.37,62.9,58.37,60.86,206628885.0,12688753520.0,6.417205805210702,AkshareFetcher
2026-01-30,60.54,61.07,58.54,59.46,131630865.0,7853863089.0,-2.3003614853762677,AkshareFetcher
2026-02-02,59.46,60.11,56.72,56.87,100838103.0,5888395180.0,-4.3558694920955325,AkshareFetcher
2026-02-03,57.86,58.01,56.35,57.99,78213058.0,4495687412.0,1.969403903639888,AkshareFetcher
2026-02-04,57.29,58.15,56.22,56.8,68123715.0,3878533159.0,-2.0520779444731962,AkshareFetcher
2026-02-05,56.02,56.81,55.53,55.62,50414774.0,2827155392.0,-2.077464788732397,AkshareFetcher
2026-02-06,55.12,55.51,54.19,54.68,49832700.0,2740836895.0,-1.6900395541172175,AkshareFetcher
2026-02-09,55.62,56.57,55.22,56.28,63446965.0,3555871565.0,2.9261155815654805,AkshareFetcher
2026-02-10,56.37,57.11,55.69,56.73,61844477.0,3506003301.0,0.7995735607675858,AkshareFetcher
2026-02-11,56.38,57.03,56.25,56.34,41603442.0,2359057319.0,-0.6874669487043739,AkshareFetcher
2026-02-12,56.82,58.26,56.43,57.67,80709412.0,4639970912.0,2.360667376641823,AkshareFetcher
2026-02-13,56.75,57.54,56.68,56.99,54681803.0,3126377990.0,-1.1791225940697037,AkshareFetcher
2026-02-24,58.26,58.31,55.73,57.03,74094209.0,4223020218.0,0.0701877522372385,AkshareFetcher
2026-02-25,56.57,56.99,55.83,55.99,57642499.0,3245816379.0,-1.8236016131860433,AkshareFetcher
2026-02-26,56.0,56.05,55.27,55.56,45653983.0,2543350301.0,-0.767994284693696,AkshareFetcher
2026-02-27,55.35,56.14,55.17,55.69,44625965.0,2491942172.0,0.2339812814974751,AkshareFetcher
2026-03-02,54.63,55.08,53.97,54.19,57718854.0,3150990302.0,-2.6934817741066652,AkshareFetcher
2026-03-03,54.46,54.68,51.97,52.03,65214027.0,3468043123.0,-3.985975272190434,AkshareFetcher
2026-03-04,51.34,52.39,51.1,51.6,44006883.0,2283367039.0,-0.8264462809917328,AkshareFetcher
2026-03-05,52.76,52.84,51.79,52.07,36059485.0,1888642166.0,0.9108527131783006,AkshareFetcher
2026-03-06,52.08,52.71,51.75,52.41,31099310.0,1629494278.0,0.6529671595928432,AkshareFetcher
2026-03-09,51.67,53.58,51.38,53.38,54825499.0,2888883354.0,1.8507918336195583,AkshareFetcher
