bk,name,pct_chg,price,turnover,volume_ratio,total_mv,float_mv,amount,_fetched_at
BK0490,军工,2.23,79609.5,2.44,0.96,6030585600000,5296088832000,164475096019.0,2026-08-17T23:41:54.393072+08:00
BK1632,昨日高换手,2.23,557.32,17.42,1.05,1056663008000,837636336000,151847603864.0,2026-08-17T23:41:54.393072+08:00
BK0578,稀土永磁,2.23,3633.94,1.98,0.88,1227565840000,1105035664000,35344838295.0,2026-08-17T23:41:54.393072+08:00
BK1693,近期摘帽,2.2,1169.78,3.26,0.83,574254944000,358569712000,13120299610.0,2026-08-17T23:41:54.393072+08:00
BK0909,降解塑料,2.2,2015.81,1.71,0.96,806197952000,733538224000,13931769441.0,2026-08-17T23:41:54.393072+08:00
BK1100,减速器,2.19,1800.83,2.9,1.04,1144754192000,987509712000,31011432431.0,2026-08-17T23:41:54.393072+08:00
BK0802,智能驾驶,2.19,2124.82,1.88,0.98,7404928768000,6212998912000,168078752992.0,2026-08-17T23:41:54.393072+08:00
BK0644,特斯拉概念,2.18,6788.11,2.22,0.99,6858485760000,6139176960000,151350297794.0,2026-08-17T23:41:54.393072+08:00
BK1158,微盘股,2.18,3593.7,2.47,1.02,857086832000,756062032000,18625969921.0,2026-08-17T23:41:54.393072+08:00
BK1079,户外露营,2.17,1406.74,1.99,1.1,131520149000,113949378000,2546711642.0,2026-08-17T23:41:54.393072+08:00
BK1090,机器人概念,2.17,2046.93,2.19,0.99,14207671296000,12099595776000,363081626746.0,2026-08-17T23:41:54.393072+08:00
BK0901,3D摄像头,2.17,1706.25,2.48,1.12,722714400000,680181392000,13851084108.0,2026-08-17T23:41:54.393072+08:00
BK1089,汽车热管理,2.17,1977.28,2.63,1.18,1009224336000,856698416000,23693184850.0,2026-08-17T23:41:54.393072+08:00
BK0480,航天航空,2.17,53167.74,1.67,0.97,1315928544000,1042048640000,16705895817.0,2026-08-17T23:41:54.393072+08:00
BK1198,2025三季报预增,2.17,1075.02,2.2,1.0,3944140208000,3326428608000,73830022304.0,2026-08-17T23:41:54.393072+08:00
BK0985,换电概念,2.16,1566.05,1.54,0.99,763933008000,740433104000,14886160039.0,2026-08-17T23:41:54.393072+08:00
BK1644,微盘精选,2.16,873.4,1.93,1.01,116609195000,101378217000,1937083549.0,2026-08-17T23:41:54.393072+08:00
BK0866,人造肉,2.16,1287.49,6.14,1.23,198842395000,188378541000,10226890799.0,2026-08-17T23:41:54.393072+08:00
BK0700,充电桩,2.15,3161.71,2.56,0.99,5086913024000,4193696272000,133596018534.0,2026-08-17T23:41:54.393072+08:00
BK0808,军民融合,2.15,1949.03,2.16,0.95,3246111872000,3070441232000,68608907444.0,2026-08-17T23:41:54.393072+08:00
BK0742,创业板综,2.13,1982.0,3.64,0.97,20094118912000,16072915968000,628754080543.0,2026-08-17T23:41:54.393072+08:00
BK0606,油气设服,2.11,2085.97,1.43,0.96,2249568240000,618263264000,15298072495.0,2026-08-17T23:41:54.393072+08:00
BK1150,新型工业化,2.11,1524.11,1.73,0.91,3030858912000,2824723984000,48194172488.0,2026-08-17T23:41:54.393072+08:00
BK0943,汽车拆解,2.09,1278.02,1.51,0.92,233936279000,194451828000,4394895849.0,2026-08-17T23:41:54.393072+08:00
BK0632,土地流转,2.09,1680.16,2.78,1.42,396706464000,352981120000,10754836055.0,2026-08-17T23:41:54.393072+08:00
BK1145,机器人执行器,2.07,2110.62,2.87,0.98,687525952000,638160144000,18535437730.0,2026-08-17T23:41:54.393072+08:00
BK1181,并购重组概念,2.07,1322.69,1.89,1.15,2619797024000,1787941120000,40658948961.0,2026-08-17T23:41:54.393072+08:00
BK0623,海洋经济,2.06,3286.02,1.72,1.01,2291625680000,1999280288000,52063723909.0,2026-08-17T23:41:54.393072+08:00
BK1095,钒电池,2.05,1315.99,1.13,0.84,530885904000,486193120000,7562282139.0,2026-08-17T23:41:54.393072+08:00
BK1025,预制菜概念,2.04,1050.61,2.96,1.28,586359456000,434129280000,9111741076.0,2026-08-17T23:41:54.393072+08:00
BK0682,燃料电池概念,2.04,4266.95,1.75,0.94,3177957776000,2695014224000,70789454787.0,2026-08-17T23:41:54.393072+08:00
BK0710,量子科技,2.01,3383.17,1.36,1.04,2555035600000,2321126912000,83688386871.0,2026-08-17T23:41:54.393072+08:00
BK0989,储能概念,2.01,2295.72,1.78,0.92,12036116480000,10246028544000,222893185365.0,2026-08-17T23:41:54.393072+08:00
BK1011,环氧丙烷,2.01,687.18,2.11,1.07,612140400000,600924992000,9343642059.0,2026-08-17T23:41:54.393072+08:00
BK1642,微利股,2.0,849.14,1.81,0.86,1101763296000,1016902064000,20456349925.0,2026-08-17T23:41:54.393072+08:00
BK0967,水产概念,2.0,863.84,4.19,1.55,193242829000,188870992000,4130132945.0,2026-08-17T23:41:54.393072+08:00
BK1179,房屋检测,2.0,1357.16,2.51,0.97,242815454000,220389887000,6270102048.0,2026-08-17T23:41:54.393072+08:00
BK0588,光伏概念,2.0,4065.35,1.91,0.9,9680012800000,7967100928000,205382566447.0,2026-08-17T23:41:54.393072+08:00
BK1157,飞行汽车(eVTOL),1.99,1991.73,2.07,1.0,1084152560000,933742400000,29173478685.0,2026-08-17T23:41:54.393072+08:00
BK0715,航母概念,1.99,963.08,1.32,0.99,1076358208000,1045214640000,17634049140.0,2026-08-17T23:41:54.393072+08:00
BK1070,土壤修复,1.98,1003.33,2.66,1.0,228970518000,215273478000,6308394447.0,2026-08-17T23:41:54.393072+08:00
BK0976,被动元件概念,1.98,2614.39,7.34,0.94,944081136000,851571696000,56272733550.0,2026-08-17T23:41:54.393072+08:00
BK0859,超清视频,1.97,2204.27,3.18,1.23,3115043392000,2697828560000,109613815191.0,2026-08-17T23:41:54.393072+08:00
BK0614,食品安全,1.97,7472.85,3.15,1.19,418091552000,349606624000,12661530007.0,2026-08-17T23:41:54.393072+08:00
BK0864,氢能源,1.97,1484.87,1.39,0.97,5881632512000,4980790784000,114422850013.0,2026-08-17T23:41:54.393072+08:00
BK1142,裸眼3D,1.96,1247.05,4.98,1.41,378955376000,350869280000,17657133891.0,2026-08-17T23:41:54.393072+08:00
BK0690,氟化工概念,1.96,6244.9,2.51,0.92,1315253856000,1039869424000,47594965931.0,2026-08-17T23:41:54.393072+08:00
BK0669,生态农业,1.95,1425.97,1.68,0.93,279802768000,243409496000,4494959877.0,2026-08-17T23:41:54.393072+08:00
BK1750,2026中报扭亏,1.95,983.28,3.08,0.94,6776410368000,2452617072000,122103810384.0,2026-08-17T23:41:54.393072+08:00
BK1190,虚拟机器人,1.94,1369.35,2.68,0.81,683593328000,548761008000,22370984368.0,2026-08-17T23:41:54.393072+08:00
BK0501,次新股,1.94,23525.83,9.72,1.15,7835727872000,699964320000,76591627647.0,2026-08-17T23:41:54.393072+08:00
BK0922,数据中心,1.94,2118.92,2.44,1.03,11092986368000,7913728256000,266756144135.0,2026-08-17T23:41:54.393072+08:00
BK0924,地摊经济,1.94,1845.53,1.84,1.04,412699936000,374886928000,7359647343.0,2026-08-17T23:41:54.393072+08:00
BK0938,代糖概念,1.93,1096.32,2.05,1.06,161851602000,156391929000,4737953760.0,2026-08-17T23:41:54.393072+08:00
BK1647,电网概念,1.93,836.5,3.16,0.97,3143214560000,2822603488000,120223547249.0,2026-08-17T23:41:54.393072+08:00
BK0854,华为概念,1.91,4393.69,2.88,0.97,19048819456000,16682259712000,582211177697.0,2026-08-17T23:41:54.393072+08:00
BK1643,小盘股,1.91,895.57,2.14,0.91,16041430016000,14129610496000,493318505591.0,2026-08-17T23:41:54.393072+08:00
BK0994,空间站概念,1.91,2182.31,2.18,0.82,300927072000,281251376000,6596937081.0,2026-08-17T23:41:54.393072+08:00
BK0577,核能核电,1.91,2795.73,1.4,0.87,4914405376000,4119051360000,84455614800.0,2026-08-17T23:41:54.393072+08:00
BK0528,转债标的,1.9,12688.36,1.34,0.95,6286607616000,5662354176000,115549043097.0,2026-08-17T23:41:54.393072+08:00
BK0549,深圳特区,1.9,39908.7,1.79,0.96,11110227968000,9280844288000,184310035459.0,2026-08-17T23:41:54.393072+08:00
BK1000,宁组合,1.89,677.73,1.58,0.88,5577460480000,4687240704000,61037265037.0,2026-08-17T23:41:54.393072+08:00
BK0581,智能电网,1.89,2116.55,3.02,0.95,2720468240000,2363458768000,83383930592.0,2026-08-17T23:41:54.393072+08:00
BK0951,刀片电池,1.87,3305.12,2.33,0.95,1010372720000,476027456000,8025476829.0,2026-08-17T23:41:54.393072+08:00
BK0519,稀缺资源,1.87,37002.61,1.6,0.85,5291116032000,4495940608000,82191989629.0,2026-08-17T23:41:54.393072+08:00
BK1166,低空经济,1.87,1605.31,2.12,0.95,4057021328000,3558773136000,94399441806.0,2026-08-17T23:41:54.393072+08:00
BK0596,融资融券,1.86,3150.93,1.42,0.95,124536537088000,94809972736000,2154543292106.0,2026-08-17T23:41:54.393072+08:00
BK1155,小米汽车,1.85,1625.64,2.14,1.06,4677068544000,3739495824000,70457985146.0,2026-08-17T23:41:54.393072+08:00
BK0964,6G概念,1.85,2174.18,2.95,1.12,3472927392000,1373124880000,76476580322.0,2026-08-17T23:41:54.393072+08:00
BK1125,电子后视镜,1.84,1651.91,2.32,0.94,352514272000,292569296000,8982720335.0,2026-08-17T23:41:54.393072+08:00
BK0494,节能环保,1.84,14993.09,1.86,0.95,5689566464000,5010533888000,138652305601.0,2026-08-17T23:41:54.393072+08:00
BK0801,增强现实,1.83,1430.39,2.55,1.05,834385392000,778550544000,23480428958.0,2026-08-17T23:41:54.393072+08:00
BK1130,时空大数据,1.83,1414.62,2.72,0.92,286767872000,260280066000,6731511880.0,2026-08-17T23:41:54.393072+08:00
BK1633,昨日高振幅,1.82,884.47,7.63,0.95,6353178368000,5622999296000,411147165498.0,2026-08-17T23:41:54.393072+08:00
BK0988,钠离子电池,1.82,1719.33,1.77,0.85,3205252400000,2875958800000,43493735688.0,2026-08-17T23:41:54.393072+08:00
BK0970,生物识别,1.82,1712.93,2.33,1.03,1174671968000,1069445056000,35295716444.0,2026-08-17T23:41:54.393072+08:00
BK0880,UWB概念,1.82,1793.43,5.42,1.39,501138368000,468724240000,22671512280.0,2026-08-17T23:41:54.393072+08:00
BK0804,深股通,1.81,1255.94,2.56,0.96,43681979392000,36707581184000,1156308524821.0,2026-08-17T23:41:54.393072+08:00
BK1664,中盘股,1.81,1018.54,1.66,0.93,20162128128000,17617112576000,502096432853.0,2026-08-17T23:41:54.393072+08:00
BK1077,统一大市场,1.81,1238.81,2.16,1.26,408286160000,361477664000,7283591250.0,2026-08-17T23:41:54.393072+08:00
BK1049,EDR概念,1.8,1783.13,2.46,0.98,392956432000,378401712000,15287110854.0,2026-08-17T23:41:54.393072+08:00
BK1131,同步磁阻电机,1.79,2220.49,2.67,0.79,102374197000,98505112000,2493281174.0,2026-08-17T23:41:54.393072+08:00
BK0699,全息技术,1.79,2988.42,3.78,1.0,232455088000,219516123000,11721422614.0,2026-08-17T23:41:54.393072+08:00
BK0812,贬值受益,1.79,1699.88,1.87,0.92,4552931840000,3800999584000,102272170683.0,2026-08-17T23:41:54.393072+08:00
BK0818,可燃冰,1.78,1522.87,1.02,1.0,214942413000,152085359000,1888353515.0,2026-08-17T23:41:54.393072+08:00
BK0975,磁悬浮概念,1.78,2201.3,1.09,0.92,832268608000,713237616000,15654721131.0,2026-08-17T23:41:54.393072+08:00
BK0895,维生素,1.78,1980.92,4.1,0.93,483552416000,460180960000,13728476057.0,2026-08-17T23:41:54.393072+08:00
BK0708,体育产业,1.78,1369.78,2.23,1.1,796801072000,630250432000,13142777523.0,2026-08-17T23:41:54.393072+08:00
BK0680,智能家居,1.77,2978.42,1.88,1.02,4063653840000,3568626928000,79774334900.0,2026-08-17T23:41:54.393072+08:00
BK0603,页岩气,1.77,2641.39,0.36,0.81,3063097664000,2617141296000,10765215719.0,2026-08-17T23:41:54.393072+08:00
BK1072,中俄贸易概念,1.77,1558.36,1.45,0.94,693805040000,573130112000,14782045585.0,2026-08-17T23:41:54.393072+08:00
BK0707,沪股通,1.76,2567.24,0.94,0.92,75460485120000,59482814208000,1000294051820.0,2026-08-17T23:41:54.393072+08:00
BK0920,车联网(车路云),1.74,1458.53,1.89,0.98,5931245824000,5044761088000,105075212186.0,2026-08-17T23:41:54.393072+08:00
BK0965,社区团购,1.74,850.51,2.75,1.27,486134272000,343890512000,6680573127.0,2026-08-17T23:41:54.393072+08:00
BK1108,科创板做市股,1.74,1379.71,1.33,1.02,2598435136000,1649715200000,36313199001.0,2026-08-17T23:41:54.393072+08:00
BK0568,深成500,1.72,1470.22,1.9,0.95,31574221312000,26962969600000,723077556977.0,2026-08-17T23:41:54.393072+08:00
BK1026,调味品概念,1.71,968.72,2.84,1.27,631538784000,478661680000,11375171955.0,2026-08-17T23:41:54.393072+08:00
BK1057,电子纸概念,1.71,1062.28,4.12,1.24,613594768000,421923344000,19336031771.0,2026-08-17T23:41:54.393072+08:00
BK0823,养老金,1.71,1692.51,1.56,0.95,5579012608000,4660476672000,112725887532.0,2026-08-17T23:41:54.393072+08:00
BK1649,油气资源,1.69,827.66,0.71,0.89,6119222528000,4084848176000,36343530414.0,2026-08-17T23:41:54.393072+08:00
BK0872,青蒿素,1.69,2120.88,2.46,0.81,319273408000,291513536000,7112727875.0,2026-08-17T23:41:54.393072+08:00
BK0722,虚拟现实,1.69,1260.71,3.19,1.03,4119344080000,3792372080000,121884565038.0,2026-08-17T23:41:54.393072+08:00
BK0983,核污染防治,1.68,1737.23,0.81,0.8,411019888000,337197824000,6088723590.0,2026-08-17T23:41:54.393072+08:00
