fetched_at,bk,name,pct
2026-08-16T21:12:35.978029+08:00,BK1448,横向通用软件,0.78
2026-08-16T21:12:35.978029+08:00,BK1207,计算机,0.15
2026-08-16T21:12:35.978029+08:00,BK0737,软件开发,0.14
2026-08-16T21:12:35.978029+08:00,BK0149,安徽板块,0.27
2026-08-16T21:12:35.978029+08:00,BK0893,无线耳机,1.43
2026-08-16T21:12:35.978029+08:00,BK1713,科技风格,1.16
2026-08-16T21:12:35.978029+08:00,BK1646,消费电子概念,1.12
2026-08-16T21:12:35.978029+08:00,BK0710,量子科技,1.02
2026-08-16T21:12:35.978029+08:00,BK0641,智能穿戴,0.97
2026-08-16T21:12:35.978029+08:00,BK0854,华为概念,0.75
2026-08-16T21:12:35.978029+08:00,BK0859,超清视频,0.58
2026-08-16T21:12:35.978029+08:00,BK1665,大盘成长,0.52
2026-08-16T21:12:35.978029+08:00,BK1184,人形机器人,0.49
2026-08-16T21:12:35.978029+08:00,BK0802,无人驾驶,0.4
2026-08-16T21:12:35.978029+08:00,BK0832,工业互联,0.4
2026-08-16T21:12:35.978029+08:00,BK1009,元宇宙概念,0.36
2026-08-16T21:12:35.978029+08:00,BK0970,生物识别,0.35
2026-08-16T21:12:35.978029+08:00,BK1090,机器人概念,0.34
2026-08-16T21:12:35.978029+08:00,BK0706,人脑工程,0.28
2026-08-16T21:12:35.978029+08:00,BK1055,虚拟数字人,0.27
2026-08-16T21:12:35.978029+08:00,BK0804,深股通,0.22
2026-08-16T21:12:35.978029+08:00,BK0800,人工智能,0.21
2026-08-16T21:12:35.978029+08:00,BK1699,股权分散,0.19
2026-08-16T21:12:35.978029+08:00,BK0596,融资融券,0.14
2026-08-16T21:12:35.978029+08:00,BK0628,智慧城市,0.14
2026-08-16T21:12:35.978029+08:00,BK0920,车联网(车路云),0.12
2026-08-16T21:12:35.978029+08:00,BK0835,独角兽,0.09
2026-08-16T21:12:35.978029+08:00,BK0680,智能家居,0.09
2026-08-16T21:12:35.978029+08:00,BK0821,MSCI中国,0.09
2026-08-16T21:12:35.978029+08:00,BK1104,信创,0.08
2026-08-16T21:12:35.978029+08:00,BK1663,大盘股,0.06
2026-08-16T21:12:35.978029+08:00,BK0662,在线教育,0.04
2026-08-16T21:12:35.978029+08:00,BK0568,深成500,-0.02
2026-08-16T21:12:35.978029+08:00,BK0689,阿里概念,-0.04
2026-08-16T21:12:35.978029+08:00,BK0743,深证100R,-0.07
2026-08-16T21:12:35.978029+08:00,BK1153,多模态AI,-0.08
2026-08-16T21:12:35.978029+08:00,BK0696,国产软件,-0.11
2026-08-16T21:12:35.978029+08:00,BK0861,数字孪生,-0.12
2026-08-16T21:12:35.978029+08:00,BK0500,HS300_,-0.12
2026-08-16T21:12:35.978029+08:00,BK1658,创新医疗服务,-0.12
2026-08-16T21:12:35.978029+08:00,BK0867,富时罗素,-0.24
2026-08-16T21:12:35.978029+08:00,BK1126,ChatGPT概念,-0.25
2026-08-16T21:12:35.978029+08:00,BK1139,中特估,-0.29
2026-08-16T21:12:35.978029+08:00,BK1111,AIGC概念,-0.3
2026-08-16T21:12:35.978029+08:00,BK1673,破增发价股,-0.33
2026-08-16T21:12:35.978029+08:00,BK0813,雄安新区,-0.39
2026-08-16T21:12:35.978029+08:00,BK1629,AI应用,-0.41
2026-08-16T21:12:35.978029+08:00,BK0879,标准普尔,-0.45
2026-08-16T21:12:35.978029+08:00,BK0610,央视50_,-0.49
2026-08-16T21:12:35.978029+08:00,BK0837,互联医疗,-0.53
