fetched_at,bk,name,pct
2026-08-16T21:23:03.114829+08:00,BK1303,锂电池,0.81
2026-08-16T21:23:03.114829+08:00,BK1033,电池,0.72
2026-08-16T21:23:03.114829+08:00,BK1200,电力设备,-0.1
2026-08-16T21:23:03.114829+08:00,BK0151,福建板块,0.03
2026-08-16T21:23:03.114829+08:00,BK1059,百元股,1.96
2026-08-16T21:23:03.114829+08:00,BK1092,麒麟电池,1.45
2026-08-16T21:23:03.114829+08:00,BK0968,固态电池,1.06
2026-08-16T21:23:03.114829+08:00,BK1173,锂矿概念,1.02
2026-08-16T21:23:03.114829+08:00,BK0574,锂电池概念,0.88
2026-08-16T21:23:03.114829+08:00,BK0638,创业成份,0.82
2026-08-16T21:23:03.114829+08:00,BK0854,华为概念,0.75
2026-08-16T21:23:03.114829+08:00,BK1648,电池技术,0.71
2026-08-16T21:23:03.114829+08:00,BK0742,创业板综,0.69
2026-08-16T21:23:03.114829+08:00,BK0900,新能源车,0.59
2026-08-16T21:23:03.114829+08:00,BK0644,特斯拉概念,0.52
2026-08-16T21:23:03.114829+08:00,BK1665,大盘成长,0.52
2026-08-16T21:23:03.114829+08:00,BK1155,小米汽车,0.51
2026-08-16T21:23:03.114829+08:00,BK0988,钠离子电池,0.48
2026-08-16T21:23:03.114829+08:00,BK1052,动力电池回收,0.4
2026-08-16T21:23:03.114829+08:00,BK1710,先进制造风格,0.38
2026-08-16T21:23:03.114829+08:00,BK0804,深股通,0.22
2026-08-16T21:23:03.114829+08:00,BK0596,融资融券,0.14
2026-08-16T21:23:03.114829+08:00,BK0821,MSCI中国,0.09
2026-08-16T21:23:03.114829+08:00,BK1663,大盘股,0.06
2026-08-16T21:23:03.114829+08:00,BK0989,储能概念,0.03
2026-08-16T21:23:03.114829+08:00,BK0568,深成500,-0.02
2026-08-16T21:23:03.114829+08:00,BK1661,行业龙头,-0.05
2026-08-16T21:23:03.114829+08:00,BK0743,深证100R,-0.07
2026-08-16T21:23:03.114829+08:00,BK0500,HS300_,-0.12
2026-08-16T21:23:03.114829+08:00,BK1639,周期股,-0.14
2026-08-16T21:23:03.114829+08:00,BK1743,券商金股,-0.2
2026-08-16T21:23:03.114829+08:00,BK0867,富时罗素,-0.24
2026-08-16T21:23:03.114829+08:00,BK1000,宁组合,-0.27
2026-08-16T21:23:03.114829+08:00,BK0499,AH股,-0.34
2026-08-16T21:23:03.114829+08:00,BK1662,权重股,-0.59
2026-08-16T21:23:03.114829+08:00,BK0937,蚂蚁概念,-0.64
2026-08-16T21:23:03.114829+08:00,BK0999,茅指数,-0.71
2026-08-16T21:23:03.114829+08:00,BK1715,趋势股,-0.73
